word,emotion,count
i,fear,622
you,neutral,418
the,neutral,416
and,neutral,297
a,neutral,268
to,neutral,235
my,sadness,235
me,neutral,212
not,neutral,199
that,neutral,174
in,neutral,149
is,neutral,133
will,neutral,120
it,neutral,117
of,neutral,113
so,neutral,113
do,neutral,108
be,neutral,107
am,surprise,106
all,neutral,105
but,neutral,95
just,neutral,93
love,sadness,93
have,neutral,86
when,fear,85
your,neutral,81
on,neutral,76
no,neutral,74
for,neutral,73
now,neutral,70
wah,neutral,70
they,neutral,65
are,neutral,62
go,neutral,62
she,neutral,58
with,neutral,58
come,neutral,57
man,neutral,57
if,anger,56
know,neutral,56
like,neutral,55
we,neutral,55
can,neutral,54
babi,neutral,53
got,neutral,52
was,neutral,52
time,neutral,50
he,neutral,49
this,neutral,48
day,neutral,47
feel,sadness,47
down,neutral,45
long,neutral,44
there,neutral,43
&,neutral,40
eye,neutral,40
let,neutral,39
then,neutral,39
would,neutral,39
dream,fear,38
oh,neutral,38
right,neutral,38
what,neutral,38
as,neutral,37
from,neutral,37
good,neutral,37
his,neutral,37
one,neutral,37
white,neutral,37
old,neutral,36
caus,neutral,35
an,neutral,34
how,neutral,34
guitar,neutral,32
more,neutral,32
never,neutral,32
where,neutral,32
heart,sadness,32
close,neutral,31
get,neutral,31
say,neutral,31
see,neutral,31
well,neutral,31
around,neutral,30
home,neutral,30
find,neutral,29
her,neutral,28
littl,neutral,28
back,neutral,27
by,neutral,27
ca,neutral,27
here,neutral,27
night,neutral,27
way,neutral,27
want,neutral,26
take,anger,25
been,neutral,25
ur,neutral,25
wo,neutral,25
make,neutral,24
mind,neutral,24
may,neutral,23
own,neutral,23
away,neutral,22
had,neutral,22
gone,sadness,22
mother,sadness,22
about,neutral,21
blue,neutral,21
busi,neutral,21
men,neutral,21
said,neutral,21
at,neutral,20
christma,neutral,20
look,neutral,20
record,neutral,20
till,neutral,20
child,sadness,20
saw,surprise,20
cloth,disgust,19
again,neutral,19
him,neutral,19
light,neutral,19
mama,neutral,19
place,neutral,19
santa,neutral,19
yeah,neutral,19
out,sadness,19
i´m,surprise,19
claus,neutral,18
lord,neutral,18
mine,neutral,18
peopl,neutral,18
some,neutral,18
too,neutral,18
train,neutral,18
woman,neutral,18
gonna,sadness,18
wonder,surprise,18
chang,neutral,17
girl,neutral,17
sweet,neutral,17
up,neutral,17
yo,neutral,17
after,neutral,16
cross,neutral,16
darl,neutral,16
hand,neutral,16
honki,neutral,16
seem,neutral,16
tell,neutral,16
life,sadness,16
call,neutral,15
end,neutral,15
fever,neutral,15
gal,neutral,15
mani,neutral,15
new,neutral,15
onli,neutral,15
pleas,neutral,15
still,neutral,15
thing,neutral,15
through,neutral,15
wish,neutral,15
cut,anger,14
hate,anger,14
2,neutral,14
did,neutral,14
die,neutral,14
knew,neutral,14
lie,neutral,14
must,neutral,14
need,neutral,14
roll,neutral,14
worri,neutral,14
ya,neutral,14
year,neutral,14
alon,neutral,13
befor,neutral,13
boy,neutral,13
into,neutral,13
leav,neutral,13
our,neutral,13
them,neutral,13
tonight,neutral,13
walk,neutral,13
who,surprise,13
ai,neutral,12
bout,neutral,12
goodby,neutral,12
help,neutral,12
morn,neutral,12
nobodi,neutral,12
or,neutral,12
over,neutral,12
round,neutral,12
thought,neutral,12
wait,neutral,12
friend,sadness,12
lost,sadness,12
