word,emotion,count
the,neutral,141653
i,fear,138795
you,neutral,124050
to,neutral,75964
and,neutral,74873
a,neutral,74318
it,neutral,58170
not,neutral,53982
me,neutral,50743
in,neutral,48087
is,neutral,44024
of,neutral,39886
my,sadness,39439
do,neutral,35982
your,neutral,32166
that,neutral,31906
on,neutral,31744
are,neutral,29015
love,sadness,27507
am,surprise,26822
we,neutral,26437
will,neutral,23960
all,neutral,23950
for,neutral,23636
no,neutral,22676
be,neutral,22590
have,neutral,21279
so,neutral,19142
know,neutral,19027
but,neutral,17621
with,neutral,16665
just,neutral,16653
oh,neutral,16201
what,neutral,16110
when,fear,15502
like,neutral,15228
this,neutral,14632
she,neutral,14365
can,neutral,13939
there,neutral,13787
they,neutral,13742
go,neutral,13595
he,neutral,13571
now,neutral,13512
come,neutral,13422
time,neutral,13363
got,neutral,13286
up,neutral,13071
get,neutral,12955
out,sadness,12451
one,neutral,12170
down,neutral,11648
was,neutral,11557
see,neutral,10918
want,neutral,10712
babi,neutral,10685
if,anger,10660
say,neutral,10580
never,neutral,10373
make,neutral,9889
take,anger,9885
feel,sadness,9637
let,neutral,9266
from,neutral,9228
ca,neutral,9095
way,neutral,9081
yeah,neutral,8461
would,neutral,8452
at,neutral,8397
la,neutral,8321
night,neutral,8292
heart,sadness,8230
de,neutral,8195
her,neutral,8024
as,neutral,7881
gonna,sadness,7747
away,neutral,7513
day,neutral,7428
look,neutral,7409
back,neutral,7380
need,neutral,6963
man,neutral,6848
by,neutral,6844
life,sadness,6709
could,fear,6643
girl,neutral,6591
right,neutral,6542
tell,neutral,6397
here,neutral,6336
que,neutral,6171
give,anger,6095
how,neutral,6074
world,neutral,6074
thing,neutral,6027
caus,neutral,5917
more,neutral,5852
well,neutral,5699
eye,neutral,5698
who,surprise,5678
too,neutral,5651
think,neutral,5638
where,neutral,5563
live,neutral,5538
his,neutral,5381
been,neutral,5367
or,neutral,5325
onli,neutral,5224
some,neutral,5047
our,neutral,5007
again,neutral,4992
keep,neutral,4945
said,neutral,4941
about,neutral,4869
through,neutral,4782
dream,fear,4761
turn,neutral,4749
whi,surprise,4682
littl,neutral,4673
tri,neutral,4661
good,neutral,4634
wo,neutral,4513
die,neutral,4487
run,neutral,4486
around,neutral,4446
wanna,sadness,4439
then,neutral,4396
call,neutral,4376
an,neutral,4358
long,neutral,4357
hand,neutral,4231
had,neutral,4217
over,neutral,4162
find,neutral,4069
did,neutral,4051
walk,neutral,3997
mind,neutral,3987
hold,neutral,3967
still,neutral,3898
hey,neutral,3895
y,neutral,3857
were,neutral,3809
wait,neutral,3802
everi,neutral,3781
alway,neutral,3771
un,sadness,3707
us,neutral,3705
en,neutral,3697
cri,neutral,3670
hear,surprise,3670
light,neutral,3577
boy,neutral,3556
tonight,neutral,3511
fall,sadness,3507
him,neutral,3470
noth,neutral,3470
ever,neutral,3450
home,neutral,3442
their,neutral,3363
into,neutral,3342
lie,neutral,3331
play,neutral,3326
face,neutral,3251
them,neutral,3246
peopl,neutral,3244
leav,neutral,3237
believ,neutral,3202
talk,neutral,3201
head,neutral,3164
ooh,surprise,3162
danc,neutral,3154
anoth,neutral,3112
rock,neutral,3111
much,neutral,3107
better,neutral,3102
stand,anger,3053
stop,neutral,2997
hard,neutral,2962
realli,neutral,2960
el,neutral,2901
place,neutral,2894
gone,sadness,2877
e,neutral,2873
stay,neutral,2845
befor,neutral,2837
has,neutral,2823
word,neutral,2820
end,neutral,2819
start,fear,2818
chang,neutral,2808
someth,sadness,2794
tu,neutral,2713
friend,sadness,2703
new,neutral,2652
se,neutral,2650
chorus,neutral,2585
gotta,sadness,2569
old,neutral,2567
burn,neutral,2564
alon,neutral,2558
show,neutral,2558
