word,emotion,count
i,fear,380
you,neutral,277
the,neutral,237
not,neutral,162
and,neutral,140
me,neutral,138
to,neutral,136
my,sadness,119
do,neutral,100
a,neutral,99
am,surprise,96
that,neutral,94
on,neutral,92
your,neutral,84
it,neutral,79
is,neutral,70
of,neutral,68
now,neutral,66
in,neutral,65
but,neutral,64
know,neutral,63
no,neutral,61
so,neutral,58
babi,neutral,54
get,neutral,54
down,neutral,51
all,neutral,49
be,neutral,46
love,sadness,46
blue,neutral,45
for,neutral,45
just,neutral,45
got,neutral,44
at,neutral,38
ca,neutral,38
will,neutral,38
when,fear,37
he,neutral,37
are,neutral,36
she,neutral,36
what,neutral,36
if,anger,35
way,neutral,33
with,neutral,33
they,neutral,32
was,neutral,32
old,neutral,31
up,neutral,29
would,neutral,29
man,neutral,28
glad,sadness,28
day,neutral,27
like,neutral,27
gone,sadness,27
bee,neutral,26
done,neutral,26
have,neutral,26
take,anger,25
lord,neutral,25
away,neutral,24
from,neutral,24
goin,neutral,24
how,neutral,24
can,neutral,23
oh,neutral,23
guitar,neutral,22
here,neutral,22
long,neutral,22
make,neutral,22
his,neutral,21
more,neutral,21
one,neutral,21
there,neutral,21
this,neutral,21
tire,neutral,21
an,neutral,20
come,neutral,20
go,neutral,20
never,neutral,20
then,neutral,20
some,neutral,18
wo,neutral,18
shake,fear,17
see,neutral,17
stay,neutral,17
tell,neutral,17
town,neutral,17
been,neutral,16
by,neutral,16
em,neutral,16
good,neutral,16
must,neutral,16
piano,neutral,16
say,neutral,16
sky,neutral,16
time,neutral,16
use,neutral,16
want,neutral,16
we,neutral,16
back,neutral,15
mind,neutral,15
her,neutral,14
home,neutral,14
let,neutral,14
peopl,neutral,14
where,neutral,14
sun,sadness,14
whi,surprise,14
ai,neutral,13
look,neutral,13
mama,neutral,13
street,neutral,13
woman,neutral,13
work,neutral,13
2,neutral,12
becaus,neutral,12
chair,neutral,12
him,neutral,12
keep,neutral,12
need,neutral,12
spoken,neutral,12
stuff,neutral,12
could,fear,11
&,neutral,11
mornin,neutral,11
night,neutral,11
nothin,neutral,11
project,neutral,11
right,neutral,11
without,neutral,11
worri,neutral,11
gonna,sadness,11
about,neutral,10
album,neutral,10
around,neutral,10
best,neutral,10
end,neutral,10
girl,neutral,10
mean,neutral,10
rockin,neutral,10
them,neutral,10
these,neutral,10
tryin,neutral,10
vocal,neutral,10
workin,neutral,10
feel,sadness,10
out,sadness,10
saw,surprise,10
fire,anger,9
give,anger,9
again,neutral,9
door,neutral,9
had,neutral,9
play,neutral,9
rider,neutral,9
world,neutral,9
reason,anger,8
heaven,disgust,8
3,neutral,8
as,neutral,8
daddi,neutral,8
did,neutral,8
ever,neutral,8
leav,neutral,8
money,neutral,8
record,neutral,8
ride,neutral,8
special,neutral,8
sweet,neutral,8
top,neutral,8
tri,neutral,8
should,anger,7
treat,disgust,7
alway,neutral,7
boy,neutral,7
caus,neutral,7
hard,neutral,7
heard,neutral,7
jame,neutral,7
made,neutral,7
off,neutral,7
put,neutral,7
rain,neutral,7
rather,neutral,7
red,neutral,7
roll,neutral,7
set,neutral,7
thing,neutral,7
third,neutral,7
too,neutral,7
troubl,neutral,7
turn,neutral,7
well,neutral,7
went,neutral,7
heart,sadness,7
song,sadness,7
shout,anger,6
bad,disgust,6
1,neutral,6
buzz,neutral,6
