word,emotion,count
i,fear,386076
the,neutral,356770
you,neutral,315521
to,neutral,199199
and,neutral,196701
a,neutral,187238
it,neutral,149136
me,neutral,140673
not,neutral,137049
in,neutral,119577
my,sadness,114926
is,neutral,112542
of,neutral,103588
do,neutral,89504
that,neutral,86730
your,neutral,85084
on,neutral,77384
am,surprise,75084
are,neutral,67180
we,neutral,66123
will,neutral,63718
all,neutral,63625
be,neutral,61366
for,neutral,61069
no,neutral,58131
love,sadness,55888
have,neutral,53843
so,neutral,52353
know,neutral,49506
with,neutral,47709
but,neutral,46556
what,neutral,44808
like,neutral,43508
this,neutral,41519
just,neutral,40932
when,fear,38454
up,neutral,37464
now,neutral,35546
get,neutral,35201
come,neutral,34585
time,neutral,33668
can,neutral,33662
got,neutral,32461
go,neutral,32367
there,neutral,32304
they,neutral,31779
was,neutral,31150
one,neutral,31015
she,neutral,30919
down,neutral,30794
if,anger,30508
oh,neutral,29977
he,neutral,29926
out,sadness,29742
see,neutral,28967
la,neutral,28554
never,neutral,26476
from,neutral,26409
que,neutral,25991
want,neutral,25878
de,neutral,25504
make,neutral,24738
feel,sadness,24443
babi,neutral,24317
say,neutral,23988
let,neutral,23982
would,neutral,23803
ca,neutral,23250
yeah,neutral,23076
take,anger,22989
way,neutral,22943
as,neutral,22908
at,neutral,20874
back,neutral,19699
her,neutral,19431
life,sadness,19043
day,neutral,18434
here,neutral,18131
caus,neutral,18073
how,neutral,17816
by,neutral,17771
could,fear,17336
away,neutral,17157
need,neutral,17119
man,neutral,16814
gonna,sadness,16189
look,neutral,15936
heart,sadness,15902
thing,neutral,15866
think,neutral,15735
where,neutral,15664
tell,neutral,15433
who,surprise,15371
more,neutral,15293
right,neutral,15156
night,neutral,15124
world,neutral,14788
y,neutral,14732
been,neutral,14457
give,anger,14103
die,neutral,13926
eye,neutral,13923
or,neutral,13878
wanna,sadness,13814
through,neutral,13490
too,neutral,13383
live,neutral,13304
his,neutral,13176
whi,surprise,13015
en,neutral,12959
about,neutral,12789
an,neutral,12787
our,neutral,12765
tri,neutral,12749
well,neutral,12733
again,neutral,12474
keep,neutral,12470
onli,neutral,12470
some,neutral,12445
mind,neutral,12412
un,sadness,12160
then,neutral,12141
littl,neutral,11756
good,neutral,11619
girl,neutral,11503
still,neutral,11450
around,neutral,11358
said,neutral,11275
dream,fear,11274
wo,neutral,11256
long,neutral,10869
did,neutral,10803
el,neutral,10738
ya,neutral,10521
had,neutral,10318
find,neutral,10305
te,neutral,10234
call,neutral,10226
turn,neutral,10181
over,neutral,10177
alway,neutral,10107
hand,neutral,9918
tu,neutral,9913
us,neutral,9878
were,neutral,9753
everi,neutral,9704
e,neutral,9661
into,neutral,9475
se,neutral,9469
yo,neutral,9423
mi,neutral,9400
head,neutral,9359
them,neutral,9336
fall,sadness,9226
hey,neutral,9135
ever,neutral,9024
noth,neutral,9007
hold,neutral,9001
home,neutral,8864
walk,neutral,8777
run,neutral,8658
believ,neutral,8621
face,neutral,8561
light,neutral,8560
leav,neutral,8434
hear,surprise,8413
off,neutral,8339
wait,neutral,8323
lie,neutral,8307
him,neutral,8076
much,neutral,7912
better,neutral,7908
cri,neutral,7855
es,neutral,7828
gone,sadness,7795
than,neutral,7739
soul,sadness,7586
someth,sadness,7535
le,neutral,7526
their,neutral,7491
god,disgust,7483
insid,neutral,7442
stop,neutral,7398
everyth,neutral,7389
gotta,sadness,7357
has,neutral,7345
ich,neutral,7329
fuck,anger,7278
befor,neutral,7247
place,neutral,7216
peopl,neutral,7160
word,neutral,7159
stay,neutral,7073
end,neutral,7068
anoth,neutral,7041
friend,sadness,7035
realli,neutral,7029
du,neutral,6905
si,neutral,6852
show,neutral,6809
