word,emotion,count
i,fear,30306
you,neutral,26107
the,neutral,23449
and,neutral,15852
to,neutral,15465
a,neutral,13743
me,neutral,11368
not,neutral,10049
my,sadness,9824
it,neutral,8959
in,neutral,7756
that,neutral,7453
is,neutral,7320
of,neutral,7090
love,sadness,7033
do,neutral,7025
on,neutral,5655
your,neutral,5586
will,neutral,5391
am,surprise,5161
be,neutral,5075
are,neutral,4610
know,neutral,4521
have,neutral,4457
all,neutral,4307
babi,neutral,4274
for,neutral,4220
so,neutral,3973
but,neutral,3907
oh,neutral,3787
she,neutral,3678
no,neutral,3480
now,neutral,3393
with,neutral,3326
he,neutral,3286
when,fear,3222
come,neutral,3186
just,neutral,3131
we,neutral,3026
got,neutral,2886
what,neutral,2827
can,neutral,2757
go,neutral,2724
yeah,neutral,2645
her,neutral,2638
if,anger,2636
there,neutral,2630
was,neutral,2615
like,neutral,2502
time,neutral,2488
down,neutral,2452
would,neutral,2353
they,neutral,2316
one,neutral,2311
see,neutral,2227
up,neutral,2092
get,neutral,2072
this,neutral,2038
want,neutral,1978
say,neutral,1955
gonna,sadness,1919
way,neutral,1853
make,neutral,1822
out,sadness,1806
day,neutral,1796
littl,neutral,1793
girl,neutral,1786
never,neutral,1769
let,neutral,1748
la,neutral,1683
tell,neutral,1663
as,neutral,1651
well,neutral,1648
man,neutral,1633
by,neutral,1627
ca,neutral,1603
from,neutral,1589
at,neutral,1541
take,anger,1473
feel,sadness,1443
look,neutral,1426
heart,sadness,1417
said,neutral,1397
back,neutral,1386
night,neutral,1364
away,neutral,1363
his,neutral,1314
how,neutral,1314
here,neutral,1283
long,neutral,1252
been,neutral,1248
could,fear,1241
good,neutral,1225
thing,neutral,1221
caus,neutral,1220
where,neutral,1210
need,neutral,1173
right,neutral,1173
hey,neutral,1135
too,neutral,1095
who,surprise,1072
more,neutral,1058
him,neutral,1046
life,sadness,1041
mind,neutral,1040
around,neutral,1033
home,neutral,1031
then,neutral,1024
tri,neutral,1006
cri,neutral,998
about,neutral,995
had,neutral,995
think,neutral,972
onli,neutral,968
wo,neutral,955
blue,neutral,953
yes,neutral,948
give,anger,940
whi,surprise,921
walk,neutral,920
did,neutral,913
some,neutral,907
were,neutral,903
eye,neutral,900
keep,neutral,900
find,neutral,881
over,neutral,872
dream,fear,854
through,neutral,850
or,neutral,844
de,neutral,838
gone,sadness,829
world,neutral,814
live,neutral,810
everi,neutral,799
leav,neutral,788
an,neutral,782
sweet,neutral,772
hear,surprise,769
call,neutral,766
pleas,neutral,764
hand,neutral,761
mine,neutral,745
again,neutral,738
peopl,neutral,733
ever,neutral,727
old,neutral,717
turn,neutral,692
much,neutral,690
boy,neutral,679
still,neutral,673
hold,neutral,662
our,neutral,658
run,neutral,656
better,neutral,642
wait,neutral,642
wanna,sadness,636
friend,sadness,630
die,neutral,611
sing,neutral,609
them,neutral,605
woman,neutral,604
befor,neutral,594
light,neutral,594
gotta,sadness,594
alway,neutral,592
sun,sadness,583
stand,anger,582
true,neutral,576
play,neutral,573
hard,neutral,565
que,neutral,561
care,neutral,559
lord,neutral,551
stay,neutral,550
place,neutral,548
ooh,surprise,538
believ,neutral,521
realli,neutral,521
has,neutral,515
kiss,anger,508
made,neutral,508
new,neutral,500
happi,surprise,500
alon,neutral,497
everyth,neutral,496
left,neutral,495
stop,neutral,495
ah,neutral,490
noth,neutral,485
town,neutral,485
end,neutral,484
last,neutral,483
show,neutral,483
face,neutral,479
lone,neutral,477
use,neutral,477
should,anger,474
head,neutral,470
anoth,neutral,469
