word,emotion,count
i,fear,15740
the,neutral,13615
you,neutral,12814
to,neutral,7515
and,neutral,7484
a,neutral,6447
it,neutral,6104
not,neutral,5527
me,neutral,5262
is,neutral,4451
my,sadness,4423
in,neutral,4303
of,neutral,3985
your,neutral,3757
we,neutral,3553
that,neutral,3533
am,surprise,3248
are,neutral,3174
will,neutral,3077
on,neutral,3047
do,neutral,2954
all,neutral,2782
for,neutral,2480
be,neutral,2439
this,neutral,2286
have,neutral,2231
so,neutral,2172
know,neutral,2076
but,neutral,1947
no,neutral,1906
love,sadness,1757
oh,neutral,1749
just,neutral,1696
what,neutral,1678
can,neutral,1610
with,neutral,1592
when,fear,1536
like,neutral,1498
up,neutral,1432
now,neutral,1414
go,neutral,1405
there,neutral,1387
out,sadness,1334
time,neutral,1318
never,neutral,1227
one,neutral,1221
if,anger,1218
get,neutral,1198
take,anger,1197
down,neutral,1196
she,neutral,1196
come,neutral,1186
was,neutral,1119
they,neutral,1115
see,neutral,1086
from,neutral,1076
got,neutral,1065
want,neutral,1064
let,neutral,1055
ca,neutral,1010
way,neutral,976
feel,sadness,955
would,neutral,948
la,neutral,940
back,neutral,858
say,neutral,844
yeah,neutral,812
make,neutral,808
caus,neutral,797
at,neutral,784
away,neutral,779
need,neutral,758
de,neutral,754
as,neutral,753
here,neutral,746
life,sadness,745
heart,sadness,723
our,neutral,700
day,neutral,696
could,fear,687
how,neutral,666
look,neutral,658
que,neutral,658
he,neutral,656
think,neutral,642
her,neutral,635
world,neutral,632
through,neutral,620
eye,neutral,618
live,neutral,618
where,neutral,616
gonna,sadness,615
by,neutral,614
die,neutral,607
more,neutral,606
tell,neutral,596
right,neutral,585
wo,neutral,578
us,neutral,574
thing,neutral,567
onli,neutral,564
give,anger,561
been,neutral,561
fall,sadness,553
noth,neutral,538
keep,neutral,534
night,neutral,529
girl,neutral,528
again,neutral,525
babi,neutral,525
leav,neutral,511
still,neutral,507
hand,neutral,500
too,neutral,498
an,neutral,486
alway,neutral,478
into,neutral,476
tri,neutral,473
hey,neutral,469
who,surprise,466
man,neutral,460
or,neutral,457
call,neutral,455
light,neutral,455
turn,neutral,452
said,neutral,449
find,neutral,446
whi,surprise,445
then,neutral,439
wanna,sadness,420
home,neutral,419
were,neutral,403
everi,neutral,400
littl,neutral,400
end,neutral,396
hold,neutral,395
mind,neutral,395
long,neutral,384
wait,neutral,383
left,neutral,380
over,neutral,380
run,neutral,380
ich,neutral,378
someth,sadness,378
around,neutral,376
about,neutral,374
alon,neutral,369
off,neutral,368
did,neutral,367
break,anger,366
believ,neutral,366
stop,neutral,363
tu,neutral,362
these,neutral,360
y,neutral,360
dream,fear,355
gone,sadness,353
lost,sadness,351
ever,neutral,347
them,neutral,347
had,neutral,345
everyth,neutral,342
en,neutral,340
good,neutral,338
hope,neutral,335
un,sadness,324
da,neutral,320
his,neutral,320
place,neutral,320
last,neutral,318
head,neutral,317
well,neutral,317
insid,neutral,314
show,neutral,314
has,neutral,312
walk,neutral,312
du,neutral,311
made,neutral,309
pas,neutral,308
some,neutral,307
god,disgust,306
hear,surprise,304
stay,neutral,302
face,neutral,298
chang,neutral,297
tonight,neutral,292
le,neutral,291
les,neutral,290
start,fear,288
und,neutral,288
lie,neutral,284
than,neutral,278
befor,neutral,277
should,anger,274
na,neutral,274
better,neutral,270
stand,anger,269
even,neutral,268
care,neutral,267
same,neutral,267
