word,emotion,count
i,fear,889493
the,neutral,780399
you,neutral,743845
to,neutral,452707
and,neutral,443446
a,neutral,386075
it,neutral,357837
me,neutral,323712
not,neutral,306655
in,neutral,261733
my,sadness,256004
is,neutral,251146
of,neutral,231425
your,neutral,203813
that,neutral,200184
do,neutral,188890
we,neutral,182953
am,surprise,176905
on,neutral,172491
are,neutral,167971
all,neutral,160769
will,neutral,156677
for,neutral,144365
be,neutral,139473
so,neutral,127187
no,neutral,126364
have,neutral,125890
this,neutral,121518
know,neutral,115417
but,neutral,108923
with,neutral,105603
what,neutral,105447
love,sadness,104387
like,neutral,96240
just,neutral,95771
up,neutral,89218
when,fear,87472
now,neutral,83337
get,neutral,81299
can,neutral,79348
go,neutral,77169
time,neutral,76641
out,sadness,73674
come,neutral,73207
oh,neutral,70092
there,neutral,69837
they,neutral,69659
if,anger,69221
one,neutral,69151
was,neutral,67068
got,neutral,66227
see,neutral,66034
down,neutral,65491
never,neutral,63156
la,neutral,61882
que,neutral,61277
from,neutral,61241
feel,sadness,60308
want,neutral,59852
she,neutral,59464
let,neutral,59384
de,neutral,59171
make,neutral,57620
take,anger,54673
ca,neutral,53692
say,neutral,52958
way,neutral,52790
would,neutral,51917
as,neutral,48788
back,neutral,48400
he,neutral,48144
at,neutral,47941
yeah,neutral,46529
life,sadness,44689
day,neutral,44598
away,neutral,43816
here,neutral,43065
how,neutral,42747
babi,neutral,41179
caus,neutral,41036
could,fear,39889
need,neutral,38762
our,neutral,38308
her,neutral,37324
heart,sadness,36986
by,neutral,36839
thing,neutral,36078
die,neutral,36030
look,neutral,35965
right,neutral,35962
where,neutral,35936
think,neutral,35440
been,neutral,34892
more,neutral,34821
gonna,sadness,34455
tell,neutral,33883
eye,neutral,33295
y,neutral,33009
night,neutral,32701
who,surprise,32681
wanna,sadness,32678
world,neutral,32504
give,anger,32264
through,neutral,32224
again,neutral,31448
tri,neutral,31219
man,neutral,30857
keep,neutral,30735
live,neutral,30402
us,neutral,29297
or,neutral,29073
onli,neutral,28795
en,neutral,28733
girl,neutral,28500
still,neutral,28219
too,neutral,28212
whi,surprise,27756
wo,neutral,27485
about,neutral,27071
un,sadness,26842
an,neutral,26826
then,neutral,25992
fall,sadness,25867
over,neutral,25792
mind,neutral,25412
find,neutral,25009
some,neutral,24741
noth,neutral,24491
turn,neutral,24466
around,neutral,24435
did,neutral,24263
hand,neutral,24129
everi,neutral,24052
ich,neutral,23931
good,neutral,23696
were,neutral,23621
leav,neutral,23335
well,neutral,23198
said,neutral,23184
dream,fear,23149
alway,neutral,23094
long,neutral,23048
tu,neutral,23004
them,neutral,22994
wait,neutral,22925
light,neutral,22899
call,neutral,22786
el,neutral,22618
hold,neutral,22356
run,neutral,22332
had,neutral,22261
into,neutral,22039
his,neutral,21983
ya,neutral,21940
te,neutral,21821
littl,neutral,21740
du,neutral,21525
everyth,neutral,21334
end,neutral,21123
se,neutral,20913
ever,neutral,20876
home,neutral,20721
es,neutral,19838
face,neutral,19787
lie,neutral,19707
believ,neutral,19638
walk,neutral,19610
head,neutral,19606
mi,neutral,19594
these,neutral,19547
und,neutral,18942
someth,sadness,18935
off,neutral,18695
gone,sadness,18668
le,neutral,18607
insid,neutral,18405
better,neutral,18113
befor,neutral,18111
hear,surprise,17955
stop,neutral,17918
yo,neutral,17907
stay,neutral,17810
alon,neutral,17596
chang,neutral,17478
hey,neutral,17131
word,neutral,17075
than,neutral,17002
much,neutral,16938
place,neutral,16904
left,neutral,16782
last,neutral,16590
show,neutral,16528
has,neutral,16502
stand,anger,16225
je,neutral,16225
new,neutral,16099
tonight,neutral,16074
break,anger,16045
god,disgust,15970
their,neutral,15925
