word,emotion,count
i,fear,73573
the,neutral,67751
you,neutral,65620
and,neutral,40640
to,neutral,39371
a,neutral,38306
it,neutral,28997
me,neutral,27977
not,neutral,27918
in,neutral,22837
my,sadness,21804
is,neutral,20487
do,neutral,19218
of,neutral,18013
on,neutral,17330
that,neutral,16800
love,sadness,15735
your,neutral,15577
are,neutral,14198
am,surprise,13786
all,neutral,12883
be,neutral,12231
we,neutral,12001
will,neutral,11860
for,neutral,11749
have,neutral,11319
no,neutral,10432
know,neutral,10192
so,neutral,9804
oh,neutral,9712
but,neutral,9693
just,neutral,9047
she,neutral,8909
with,neutral,8528
when,fear,8109
what,neutral,7822
got,neutral,7820
he,neutral,7820
like,neutral,7675
come,neutral,7527
down,neutral,7457
get,neutral,7457
babi,neutral,7391
go,neutral,7372
can,neutral,7369
was,neutral,7332
now,neutral,7001
time,neutral,6877
there,neutral,6805
they,neutral,6704
if,anger,6145
yeah,neutral,6036
up,neutral,5968
out,sadness,5941
see,neutral,5766
one,neutral,5646
la,neutral,5585
this,neutral,5484
let,neutral,5352
say,neutral,5054
make,neutral,4986
take,anger,4946
would,neutral,4941
her,neutral,4917
way,neutral,4901
want,neutral,4859
man,neutral,4811
feel,sadness,4805
ca,neutral,4793
day,neutral,4777
gonna,sadness,4760
never,neutral,4612
night,neutral,4396
at,neutral,4277
from,neutral,4271
well,neutral,4115
as,neutral,4063
by,neutral,3831
away,neutral,3754
back,neutral,3742
look,neutral,3609
been,neutral,3529
tell,neutral,3457
right,neutral,3448
need,neutral,3395
could,fear,3363
life,sadness,3359
how,neutral,3247
his,neutral,3233
who,surprise,3217
good,neutral,3205
here,neutral,3165
caus,neutral,3160
thing,neutral,3142
girl,neutral,3090
think,neutral,3046
give,anger,3023
more,neutral,3002
too,neutral,2996
littl,neutral,2949
long,neutral,2939
where,neutral,2893
said,neutral,2869
home,neutral,2777
some,neutral,2716
keep,neutral,2702
live,neutral,2671
de,neutral,2670
heart,sadness,2658
tri,neutral,2623
around,neutral,2593
eye,neutral,2580
wo,neutral,2540
onli,neutral,2508
world,neutral,2507
through,neutral,2497
again,neutral,2489
or,neutral,2465
had,neutral,2446
wanna,sadness,2431
mind,neutral,2405
que,neutral,2395
find,neutral,2387
e,neutral,2336
hey,neutral,2333
dream,fear,2323
then,neutral,2294
about,neutral,2281
did,neutral,2281
turn,neutral,2244
whi,surprise,2237
an,neutral,2107
light,neutral,2096
our,neutral,2047
over,neutral,2030
were,neutral,2025
hand,neutral,2009
run,neutral,2002
him,neutral,2000
still,neutral,1967
old,neutral,1966
call,neutral,1944
danc,neutral,1932
cri,neutral,1906
hear,surprise,1882
peopl,neutral,1871
boy,neutral,1868
ever,neutral,1854
ooh,surprise,1837
everi,neutral,1824
play,neutral,1807
gone,sadness,1800
walk,neutral,1799
leav,neutral,1788
us,neutral,1788
realli,neutral,1784
gotta,sadness,1754
die,neutral,1753
yes,neutral,1749
hold,neutral,1740
them,neutral,1732
sing,neutral,1715
much,neutral,1707
song,sadness,1679
friend,sadness,1671
head,neutral,1662
rock,neutral,1653
sweet,neutral,1652
woman,neutral,1649
better,neutral,1629
un,sadness,1623
alway,neutral,1601
wait,neutral,1588
da,neutral,1551
blue,neutral,1535
alon,neutral,1531
face,neutral,1528
ya,neutral,1516
sun,sadness,1515
put,neutral,1514
stay,neutral,1498
roll,neutral,1477
pleas,neutral,1469
show,neutral,1428
stand,anger,1426
tonight,neutral,1424
believ,neutral,1411
anoth,neutral,1410
befor,neutral,1409
noth,neutral,1408
their,neutral,1385
has,neutral,1373
made,neutral,1367
into,neutral,1357
music,neutral,1356
move,neutral,1355
chang,neutral,1338
hard,neutral,1338
new,neutral,1329
place,neutral,1318
